Model;MPG;Cylinders;Displacement;Horsepower;Weight;Acceleration;Origin;Vehicle
STRING;DOUBLE;INT;DOUBLE;DOUBLE;DOUBLE;DOUBLE;CAT;CAT
E-100a;100;0;307;130;3504;12;US;Electric
E-100b;124;0;350;165;3693;11.5;US;Electric
E-100c;109;0;318;150;3436;11;US;Electric
E-100d;106;0;304;150;3433;12;US;Electric
E-100e;121;0;302;140;3449;10.5;US;Electric
E-100f;113;0;429;198;4341;10;US;Electric
E-100g;130;0;454;220;4354;9;US;Electric
E-100h;107;0;440;215;4312;8.5;US;Electric
E-100i;107;0;455;225;4425;10;US;Electric
E-100j;108;0;390;190;3850;8.5;US;Electric
E-100k;122;0;133;115;3090;17.5;Europe;Electric
E-100l;130;0;350;165;4142;11.5;US;Electric
E-100m;129;0;351;153;4034;11;US;Electric
E-100n;108;0;383;175;4166;10.5;US;Electric
E-200a;106;0;360;175;3850;11;US;Elektric
E-200b;102;0;383;170;3563;10;US;Electric
E-200c;102;0;340;160;3609;8;US;Electric
E-200d;104;0;302;140;3353;8;US;Electric
E-200e;126;0;400;150;3761;9.5;US;Electric
E-200f;102;0;455;225;3086;10;US;Electric
E-200g;118;0;113;95;2372;15;Japan;Electric
E-200h;101;0;198;95;2833;15.5;US;Electric
E-200i;106;0;199;97;2774;15.5;US;Electric
E-200j;111;0;200;85;2587;16;US;Electric
E-200k;110;0;97;88;2130;14.5;Japan;Electric
E-300a;127;0;97;46;1835;20.5;Europe;Electric
E-300b;122;0;110;87;2672;17.5;Europe;Electric
E-300c;122;0;107;90;2430;14.5;Europe;Electric
E-300d;120;0;104;95;2375;17.5;Europe;Electric
E-300e;114;0;121;113;2234;12.5;Europe;Electric
E-300f;102;0;199;90;2648;15;US;Electric
E-300g;123;0;360;215;4615;14;US;Electric
E-300h;114;0;307;200;4376;15;US;Electric
E-300i;111;0;318;210;4382;13.5;US;Electric
E-300j;114;0;304;193;4732;18.5;US;Electric
E-300k;113;0;97;88;2130;14.5;Japan;Electric
E-300l;109;0;140;90;2264;15.5;US;Electric
E-300m;127;0;113;95;2228;14;Japan;Electric
E-300n;105;0;98;0;2046;19;US;Electric
E-300o;116;0;97;48;1978;20;Europe;Electric
E-300p;124;0;232;100;2634;13;US;Electric
E-300q;110;0;225;105;3439;15.5;US;Electric
E-300r;109;0;250;100;3329;15.5;US;Electric
E-300s;129;0;250;88;3302;15.5;US;Electric
E-300t;121;0;232;100;3288;15.5;US;Electric
E-300u;111;0;350;165;4209;12;US;Electric
E-300v;122;0;400;175;4464;11.5;US;Electric
E-300w;108;0;351;153;4154;13.5;US;Electric
E-300x;114;0;318;150;4096;13;US;Electric
E-300y;123;0;383;180;4955;11.5;US;Electric
E-300z;101;0;400;170;4746;12;US;Electric
E-350a;112;0;400;175;5140;12;US;Electric
E-350b;105;0;258;110;2962;13.5;US;Electric
E-350c;116;0;140;72;2408;19;US;Electric
E-350d;127;0;250;100;3282;15;US;Electric
E-350e;128;0;250;88;3139;14.5;US;Electric
E-350f;123;0;122;86;2220;14;US;Electric
E-350g;119;0;116;90;2123;14;Europe;Electric
E-350h;119;0;79;70;2074;19.5;Europe;Electric
E-350i;117;0;88;76;2065;14.5;Europe;Electric
E-350j;128;0;71;65;1773;19;Japan;Electric
E-350k;120;0;72;69;1613;18;Japan;Electric
E-350l;104;0;97;60;1834;19;Europe;Electric
E-350m;109;0;91;70;1955;20.5;US;Electric
E-350n;126;0;113;95;2278;15.5;Japan;Electric
E-400a;124;0;97.5;80;2126;17;US;Electric
E-400b;128;0;97;54;2254;23.5;Europe;Electric
E-400c;100;0;140;90;2408;19.5;US;Electric
E-400d;118;0;122;86;2226;16.5;US;Electric
E-400e;110;0;350;165;4274;12;US;Electirc
E-400f;122;0;400;175;4385;12;US;Electric
E-400g;113;0;318;150;4135;13.5;US;Electric
E-400h;114;0;351;153;4129;13;US;Electric
E-400i;111;0;304;150;3672;11.5;US;Electric
E-400j;119;0;429;208;4633;11;US;Electric
E-400k;127;0;350;155;4502;13.5;US;Electric
E-400l;116;0;350;160;4456;13.5;US;Electric
E-400m;113;0;400;190;4422;12.5;US;Electric
E-400n;100;0;70;97;2330;13.5;Japan;Electric
E-400o;123;0;304;150;3892;12.5;US;Electric
E-400p;114;0;307;130;4098;14;US;Electric
E-400q;127;0;302;140;4294;16;US;Electric
E-400r;101;0;318;150;4077;14;US;Electric
E-400s;105;0;121;112;2933;14.5;Europe;Electric
E-400t;115;0;121;76;2511;18;Europe;Electric
E-400u;110;0;120;87;2979;19.5;Europe;Electric
E-400v;108;0;96;69;2189;18;Europe;Electric
E-400w;111;0;122;86;2395;16;US;Electric
E-400x;103;0;97;92;2288;17;Japan;Electric
C-100a;23;4;120;97;2506;14.5;Japan;Compact
C-100b;28;4;98;80;2164;15;US;Compact
C-100c;27;4;97;88;2100;16.5;Japan;Compact
C-100d;13;8;350;175;4100;13;US;Compact
C-100e;14;8;304;150;3672;11.5;US;Compact
C-100f;13;8;350;145;3988;13;US;Compact
C-100g;14;8;302;137;4042;14.5;US;Compact
C-100h;15;8;318;150;3777;12.5;US;Compact
C-100i;12;8;429;198;4952;11.5;US;Compact
C-100j;13;8;400;150;4464;12;US;Compact
C-100k;13;8;351;158;4363;13;US;Compact
C-100l;14;8;318;150;4237;14.5;US;Compact
C-100m;13;8;440;215;4735;11;US;Compact
C-100n;12;8;455;225;4951;11;US;Compact
C-100o;13;8;360;175;3821;11;US;Compact
C-100p;18;6;225;105;3121;16.5;US;Compact
C-100q;16;6;250;100;3278;18;US;Compact
C-100r;18;6;232;100;2945;16;US;Compact
C-100s;18;6;250;88;3021;16.5;US;Compact
C-100t;23;6;198;95;2904;16;US;Compact
C-100u;26;4;97;46;1950;21;Europe;Compcat
C-100v;11;8;400;150;4997;14;US;Compact
C-100w;12;8;400;167;4906;12.5;US;Compact
C-150a;13;8;360;170;4654;13;US;Intermediate
C-150b;12;8;350;180;4499;12.5;US;Intermediate
C-150c;18;6;232;100;2789;15;US;Intermediate
C-150d;20;4;97;88;2279;19;Japan;Intermediate
C-150e;21;4;140;72;2401;19.5;US;Intermediate
C-150f;22;4;108;94;2379;16.5;Japan;Intermediate
C-150g;18;3;70;90;2124;13.5;Japan;Intermediate
C-150h;19;4;122;85;2310;18.5;US;Intermediate
C-150i;21;6;155;107;2472;14;US;Intermediate
C-150j;26;4;98;90;2265;15.5;Europe;Intermediate
C-150k;15;8;350;145;4082;13;US;Intermediate
C-150l;16;8;400;230;4278;9.5;US;Intermediate
C-150m;29;4;68;49;1867;19.5;Europe;Intermediate
C-150n;24;4;116;75;2158;15.5;Europe;Intermediate
C-150o;20;4;114;91;2582;14;Europe;Intermediate
C-150p;19;4;121;112;2868;15.5;Europe;Intermediate
C-150q;15;8;318;150;3399;11;US;Intermediate
C-150r;24;4;121;110;2660;14;Europe;Intermediate
C-150s;20;6;156;122;2807;13.5;Japan;Intermediate
C-200a;11;8;350;180;3664;11;US;Intermediate
C-200b;20;6;198;95;3102;16.5;US;Intermediate
C-200c;21;6;200;0;2875;17;US;Intermediate
C-200d;19;6;232;100;2901;16;US;Intermediate
C-200e;15;6;250;100;3336;17;US;Intermediate
C-200f;31;4;79;67;1950;19;Japan;Intermediate
C-200g;26;4;122;80;2451;16.5;US;Intermediate
C-200h;32;4;71;65;1836;21;Japan;Intermediate
C-200i;25;4;140;75;2542;17;US;Intermediate
C-200j;16;6;250;100;3781;17;US;Intermediate
C-200k;16;6;258;110;3632;18;US;Intermediate
C-200l;18;6;225;105;3613;16.5;US;Intermediate
C-200m;16;8;302;140;4141;14;US;Intermediate
C-200n;13;8;350;150;4699;14.5;US;Intermediate
C-200o;14;8;318;150;4457;13.5;US;Intermediate
C-200p;14;8;302;140;4638;16;US;Intermediate
C-200q;14;8;304;150;4257;15.5;US;Intermediate
C-200r;29;4;98;83;2219;16.5;Europe;Intermediate
C-200s;26;4;79;67;1963;15.5;Europe;Intermediate
C-200t;26;4;97;78;2300;14.5;Europe;Intermediate
